Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2021,Crownshot,VIT,Blue,Summer,7,Ziggs,115,4.0,3.0,2.0,6.0,2.0,17.0,47.0,16.0,72.0,81.0,24.0,6.375,4.0,0.0,,0.5714285714285714,7.142857142857142
2021,NUCLEARINT,S04,Blue,Summer,7,Irelia,39,3.0,4.0,1.0,1.0,6.0,20.0,32.0,26.0,49.0,56.0,52.0,2.019230769230769,2.0,0.0,1.0,0.42857142857142855,7.142857142857142
2021,Hans,RGE,Red,Spring,5,Caitlyn,51,1.0,4.0,2.0,1.0,1.0,18.0,19.0,10.0,103.0,105.0,33.0,6.303030303030303,3.7,2.0,4.0,0.2,7.142857142857142
2021,Bwipo,FNC,Red,Spring,7,Yone,777,2.0,5.0,2.0,1.0,6.0,25.0,37.0,28.0,64.0,94.0,65.0,2.4307692307692306,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,Larssen,RGE,Red,Summer,7,Irelia,39,3.0,4.0,5.0,4.0,2.0,20.0,32.0,26.0,74.0,100.0,35.0,4.9714285714285715,2.0,0.0,1.0,0.42857142857142855,7.142857142857142
2021,Hans,RGE,Blue,Spring,5,Caitlyn,51,1.0,4.0,4.0,6.0,1.0,18.0,19.0,10.0,103.0,105.0,33.0,6.303030303030303,3.7,2.0,,0.2,7.142857142857142
2021,Caps,G2,Blue,Spring,7,Yone,777,2.0,5.0,4.0,12.0,1.0,25.0,37.0,28.0,74.0,131.0,34.0,6.029411764705882,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,Jeskla,AST,Red,Spring,5,Caitlyn,51,1.0,4.0,6.0,5.0,3.0,18.0,19.0,10.0,80.0,64.0,55.0,2.618181818181818,3.7,2.0,,0.2,7.142857142857142
2021,Kobbe,MSF,Red,Spring,5,Caitlyn,51,1.0,4.0,4.0,5.0,2.0,18.0,19.0,10.0,63.0,89.0,29.0,5.241379310344827,3.7,2.0,5.0,0.2,7.142857142857142
2021,Hans,RGE,Blue,Summer,6,Ashe,22,3.0,3.0,2.0,4.0,2.0,14.0,37.0,13.0,71.0,107.0,30.0,5.933333333333334,3.923076923076923,0.0,3.0,0.5,6.122448979591836
2021,Hans,RGE,Blue,Spring,6,Vayne,67,3.0,3.0,7.0,4.0,5.0,31.0,23.0,13.0,103.0,105.0,33.0,6.303030303030303,4.153846153846154,0.0,1.0,0.5,6.122448979591836
